Profile: <cProfile.Profile object at 0x000001D079380980>
         233895 function calls (224082 primitive calls) in 17.917 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.001    0.000    0.002    0.000 _receivebuffer.py:87(maybe_extract_next_line)
       10    0.001    0.000    0.001    0.000 {built-in method winreg.QueryValueEx}
       44    0.001    0.000    0.009    0.000 _urls.py:75(__init__)
       11    0.001    0.000    0.029    0.003 _client.py:319(build_request)
       33    0.001    0.000    0.006    0.000 _connection.py:518(send_with_data_passthrough)
       61    0.001    0.000    0.002    0.000 cookiejar.py:620(request_host)
      672    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       11    0.001    0.000   14.735    1.340 completions.py:558(create)
       79    0.001    0.000    0.002    0.000 _connection.py:308(_get_io_object)
      6/2    0.001    0.000    0.001    0.001 _parser.py:509(_parse)
   143/77    0.000    0.000    0.041    0.001 _models.py:350(_construct_field)
       11    0.000    0.000    0.048    0.004 _response.py:123(_parse)
       82    0.000    0.000    0.003    0.000 {built-in method builtins.any}
       11    0.000    0.000    0.050    0.005 _base_client.py:1061(_process_response)
       29    0.000    0.000    0.003    0.000 typing.py:1353(__init__)
       13    0.000    0.000    0.000    0.000 _config.py:143(__getattr__)
       27    0.000    0.000    0.021    0.001 _models.py:867(iter_raw)
  223/221    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     10/2    0.000    0.000    0.001    0.001 _compiler.py:37(_compile)
  223/221    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        5    0.000    0.000    0.001    0.000 _generate_schema.py:1765(_get_prepare_pydantic_annotations_for_known_type)
      195    0.000    0.000    0.000    0.000 video.py:69(<genexpr>)
      252    0.000    0.000    0.001    0.000 typing.py:1245(_is_dunder)
  526/457    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       66    0.000    0.000    0.007    0.000 _models.py:62(__init__)
       30    0.000    0.000    0.003    0.000 _models.py:1016(__init__)
       13    0.000    0.000    0.008    0.001 cookiejar.py:1356(add_cookie_header)
      118    0.000    0.000    0.001    0.000 __init__.py:1734(isEnabledFor)
       38    0.000    0.000    0.001    0.000 parse.py:841(quote)
       17    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      502    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       11    0.000    0.000    0.004    0.000 _models.py:373(_prepare)
      209    0.000    0.000    0.001    0.000 _urlparse.py:161(<genexpr>)
      186    0.000    0.000    0.001    0.000 <frozen _collections_abc>:989(__iter__)
       41    0.000    0.000    0.002    0.000 cookiejar.py:1261(__init__)
     1049    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      824    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       11    0.000    0.000    0.018    0.002 http11.py:147(_send_request_headers)
       23    0.000    0.000    0.001    0.000 <frozen _collections_abc>:941(update)
       22    0.000    0.000    0.001    0.000 _events.py:337(__init__)
      194    0.000    0.000    0.002    0.000 __init__.py:178(sub)
       20    0.000    0.000    0.000    0.000 threading.py:236(__init__)
      165    0.000    0.000    0.000    0.000 inspect.py:1766(_static_getmro)
        1    0.000    0.000    0.011    0.011 _transcripts.py:51(_extract_captions_json)
      7/2    0.000    0.000    0.011    0.006 _generate_schema.py:735(_generate_schema_inner)
       11    0.000    0.000    0.003    0.000 _client.py:392(_merge_cookies)
       17    0.000    0.000    0.009    0.001 cookiejar.py:1599(make_cookies)
      286    0.000    0.000    0.005    0.000 _utils.py:151(is_mapping)
      825    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       11    0.000    0.000    0.005    0.000 cookiejar.py:1272(_cookies_for_domain)
       44    0.000    0.000    0.001    0.000 _compat.py:92(field_get_default)
       33    0.000    0.000    0.002    0.000 inspect.py:1808(getattr_static)
        6    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
