Profile: <cProfile.Profile object at 0x0000027907471630>
         36274 function calls (36090 primitive calls) in 4.358 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        3    0.000    0.000    0.004    0.001 utils.py:114(proxy_bypass)
        3    0.000    0.000    0.001    0.000 feedparser.py:137(__init__)
        9    0.000    0.000    0.659    0.073 models.py:890(content)
       72    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.006    0.002 client.py:224(parse_headers)
        3    0.000    0.000    2.234    0.745 client.py:1334(getresponse)
       69    0.000    0.000    0.000    0.000 queue.py:248(_qsize)
       21    0.000    0.000    0.000    0.000 cookiejar.py:677(escape_path)
        3    0.000    0.000    0.000    0.000 models.py:658(__init__)
        1    0.000    0.000    0.001    0.001 socket.py:616(socketpair)
        1    0.000    0.000    0.000    0.000 {method 'listen' of '_socket.socket' objects}
       10    0.000    0.000    0.000    0.000 events.py:147(cancel)
        3    0.000    0.000    0.004    0.001 utils.py:765(should_bypass_proxies)
        1    0.000    0.000    1.963    1.963 api.py:103(post)
        9    0.000    0.000    0.000    0.000 tasks.py:426(wait_for)
        3    0.000    0.000    0.003    0.001 connection.py:275(close)
       33    0.000    0.000    0.000    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
        3    0.000    0.000    0.001    0.000 client_reqrep.py:1185(json)
        3    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
        3    0.000    0.000    0.001    0.000 cookiejar.py:1356(add_cookie_header)
       14    0.000    0.000    0.001    0.000 cookiejar.py:726(is_third_party)
       45    0.000    0.000    0.000    0.000 util.py:19(to_str)
       15    0.000    0.000    0.000    0.000 structures.py:57(__iter__)
        8    0.000    0.000    0.000    0.000 cookiejar.py:81(_timegm)
       21    0.000    0.000    0.000    0.000 sslproto.py:816(_control_app_writing)
        5    0.000    0.000    0.001    0.000 decoder.py:332(decode)
        6    0.000    0.000    0.025    0.004 sslproto.py:432(buffer_updated)
    76/18    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
        7    0.000    0.000    0.000    0.000 ssl.py:732(verify_mode)
       55    0.000    0.000    0.000    0.000 _collections.py:291(__iter__)
        3    0.000    0.000    0.008    0.003 sessions.py:750(merge_environment_settings)
        3    0.000    0.000    0.001    0.000 connectionpool.py:986(__init__)
      189    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.001    0.001 thread.py:123(__init__)
        3    0.000    0.000    0.000    0.000 connectionpool.py:1050(_new_conn)
        3    0.000    0.000    0.000    0.000 tcp_helpers.py:24(tcp_nodelay)
       30    0.000    0.000    0.000    0.000 <attrs generated hash aiohttp.client_reqrep.ConnectionKey>:1(__hash__)
        3    0.000    0.000    0.000    0.000 socket.py:769(close)
        6    0.000    0.000    0.004    0.001 connector.py:913(_resolve_host_with_throttle)
        1    0.000    0.000    0.000    0.000 base_events.py:389(__init__)
        3    0.000    0.000    0.000    0.000 adapters.py:90(_urllib3_request_context)
        6    0.000    0.000    0.000    0.000 <frozen ntpath>:319(expanduser)
        3    0.000    0.000    0.001    0.000 models.py:409(prepare_url)
       49    0.000    0.000    0.000    0.000 {built-in method math.ceil}
        2    0.000    0.000    0.000    0.000 base_tasks.py:9(_task_repr_info)
       12    0.000    0.000    0.000    0.000 tasks.py:652(_ensure_future)
        3    0.000    0.000    0.179    0.060 ssl.py:1372(do_handshake)
        3    0.000    0.000    0.000    0.000 client_reqrep.py:548(update_body_from_data)
       21    0.000    0.000    0.000    0.000 connection.py:359(<genexpr>)
        3    0.000    0.000    0.003    0.001 models.py:351(prepare)
       12    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
       27    0.000    0.000    0.000    0.000 url.py:332(_idna_encode)
       21    0.000    0.000    0.000    0.000 helpers.py:494(_is_ip_address)
       30    0.000    0.000    0.000    0.000 base_futures.py:14(isfuture)
        6    0.000    0.000    0.001    0.000 http_writer.py:69(_write)
        3    0.000    0.000    0.000    0.000 utils.py:76(proxy_bypass_registry)
        3    0.000    0.000    0.001    0.000 _collections.py:242(__init__)
      149    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       30    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       13    0.000    0.000    0.000    0.000 socket.py:515(family)
       14    0.000    0.000    0.000    0.000 cookiejar.py:691(reach)
        2    0.000    0.000    0.000    0.000 threading.py:849(__init__)
        9    0.000    0.000    0.001    0.000 impl.py:25(start_connection)
       18    0.000    0.000    0.001    0.000 ssl.py:912(read)
        7    0.000    0.000    0.001    0.000 proactor_events.py:789(_loop_self_reading)
        6    0.000    0.000    0.000    0.000 client.py:1063(_prepare_headers)
        6    0.000    0.000    0.003    0.000 base_events.py:1124(_create_connection_transport)
       12    0.000    0.000    0.000    0.000 timeout.py:109(__init__)
       11    0.000    0.000    0.000    0.000 cookiejar.py:647(request_path)
        3    0.000    0.000    0.918    0.306 base_events.py:617(run_until_complete)
       14    0.000    0.000    0.000    0.000 copy.py:66(copy)
        3    0.000    0.000    0.000    0.000 models.py:483(prepare_headers)
        3    0.000    0.000    0.000    0.000 cookiejar.py:121(clear)
        3    0.000    0.000    0.193    0.064 ssl.py:511(wrap_socket)
        6    0.000    0.000    0.025    0.004 protocols.py:200(_feed_data_to_buffered_proto)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       36    0.000    0.000    0.000    0.000 events.py:119(__lt__)
        1    0.000    0.000    0.000    0.000 models.py:947(json)
        6    0.000    0.000    0.000    0.000 utils.py:838(select_proxy)
        4    0.000    0.000    0.000    0.000 _collections.py:143(clear)
        9    0.000    0.000    0.000    0.000 base_events.py:709(call_later)
       72    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        3    0.000    0.000    0.003    0.001 threading.py:288(wait)
        6    0.000    0.000    0.001    0.000 socket.py:495(_real_close)
        6    0.000    0.000    0.000    0.000 connector.py:848(_resolve_host)
       15    0.000    0.000    0.136    0.009 connector.py:957(_create_connection)
       18    0.000    0.000    0.000    0.000 <frozen _collections_abc>:778(__contains__)
        1    0.000    0.000    0.003    0.003 thread.py:180(_adjust_thread_count)
        3    0.000    0.000    0.001    0.000 payload.py:138(__init__)
        3    0.000    0.000    0.000    0.000 queue.py:34(__init__)
        1    0.000    0.000    0.000    0.000 tasks.py:718(gather)
        1    0.000    0.000    0.130    0.130 ssl.py:591(load_default_certs)
        7    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
        1    0.000    0.000    1.963    1.963 sync_summary.py:101(final_summary)
        3    0.000    0.000    0.000    0.000 client.py:838(__init__)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
        3    0.000    0.000    0.000    0.000 ipaddress.py:28(ip_address)
        2    0.000    0.000    0.001    0.000 sessions.py:390(__init__)
        3    0.000    0.000    0.002    0.001 poolmanager.py:306(connection_from_context)
        6    0.000    0.000    0.000    0.000 timeouts.py:84(__aenter__)
        2    0.000    0.000    0.000    0.000 _compiler.py:571(_code)
