Profile: <cProfile.Profile object at 0x000001BA0CDE07C0>
         73185 function calls (70800 primitive calls) in 9.198 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      143    0.000    0.000    0.000    0.000 cookies.py:309(__setitem__)
      462    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
        2    0.000    0.000    0.126    0.063 connection.py:192(_new_conn)
  121/115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
       71    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
      194    0.000    0.000    0.002    0.000 __init__.py:178(sub)
      7/2    0.000    0.000    0.008    0.004 _generate_schema.py:735(_generate_schema_inner)
       12    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
       45    0.000    0.000    0.001    0.000 base_events.py:733(call_at)
       98    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        5    0.000    0.000    0.001    0.000 _generate_schema.py:1765(_get_prepare_pydantic_annotations_for_known_type)
  110/109    0.000    0.000    0.002    0.000 {built-in method builtins.next}
       11    0.000    0.000    0.003    0.000 _url.py:166(__new__)
     13/1    0.000    0.000    0.021    0.021 _models.py:382(construct_type)
        1    0.000    0.000    0.005    0.005 _generate_schema.py:514(_model_schema)
       35    0.000    0.000    0.000    0.000 sslproto.py:874(_control_ssl_reading)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
       92    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       93    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
      313    0.000    0.000    0.000    0.000 typing.py:1365(__eq__)
       11    0.000    0.000    0.002    0.000 http_writer.py:121(write_headers)
      100    0.000    0.000    0.000    0.000 base_events.py:425(create_future)
        2    0.000    0.000    0.125    0.063 connection.py:27(create_connection)
       14    0.000    0.000    0.000    0.000 {method 'cancel' of '_overlapped.Overlapped' objects}
      474    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
