Profile: <cProfile.Profile object at 0x000001D0792CD780>
         53760 function calls (53536 primitive calls) in 4.484 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    2.760    0.920 connectionpool.py:598(urlopen)
        3    0.000    0.000    0.003    0.001 connection.py:324(request)
        2    0.000    0.000    0.001    0.000 _parser.py:509(_parse)
      151    0.000    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
        6    0.000    0.000    0.004    0.001 url.py:369(parse_url)
        1    0.000    0.000    1.046    1.046 _api.py:114(get_transcript)
       12    0.000    0.000    0.001    0.000 encoder.py:183(encode)
       11    0.000    0.000    0.000    0.000 client_proto.py:171(set_response_params)
       20    0.000    0.000    0.000    0.000 idna.py:145(encode)
        1    0.000    0.000    3.434    3.434 async_summary.py:34(async_summarize)
       22    0.000    0.000    0.002    0.000 connector.py:848(_resolve_host)
       22    0.000    0.000    0.002    0.000 sslproto.py:671(_write_appdata)
      193    0.000    0.000    0.000    0.000 socket.py:731(readable)
       71    0.000    0.000    0.000    0.000 <attrs generated eq aiohttp.client_reqrep.ConnectionKey>:1(__eq__)
       68    0.000    0.000    0.005    0.000 ssl.py:912(read)
      151    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
       22    0.000    0.000    0.015    0.001 base_events.py:1124(_create_connection_transport)
        3    0.000    0.000    3.345    1.115 sessions.py:500(request)
       33    0.000    0.000    0.001    0.000 base_events.py:709(call_later)
       22    0.000    0.000    0.000    0.000 client.py:1063(_prepare_headers)
       22    0.000    0.000    0.003    0.000 http_writer.py:69(_write)
      190    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       55    0.000    0.000    0.001    0.000 _url.py:517(port)
       29    0.000    0.000    0.001    0.000 cookiejar.py:620(request_host)
       24    0.000    0.000    0.000    0.000 parse.py:917(quote_from_bytes)
        3    0.000    0.000    0.002    0.001 connectionpool.py:178(__init__)
        1    0.000    0.000    0.000    0.000 _transcripts.py:133(<listcomp>)
       13    0.000    0.000    0.000    0.000 threading.py:236(__init__)
       33    0.000    0.000    0.001    0.000 _quoting_c.pyx:220(_do_quote)
       11    0.000    0.000    0.000    0.000 cookiejar.py:121(clear)
       42    0.000    0.000    0.000    0.000 locks.py:200(wait)
        3    0.000    0.000    0.000    0.000 client.py:206(_read_headers)
        3    0.000    0.000    2.426    0.809 connection.py:440(getresponse)
       37    0.000    0.000    0.001    0.000 socket.py:515(family)
      195    0.000    0.000    0.009    0.000 __init__.py:122(unescape)
       22    0.000    0.000    0.002    0.000 sslproto.py:695(_do_write)
      160    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
       19    0.000    0.000    0.000    0.000 calendar.py:653(timegm)
        3    0.000    0.000    0.000    0.000 poolmanager.py:96(_default_key_normalizer)
       33    0.000    0.000    0.001    0.000 helpers.py:511(is_ip_address)
       11    0.000    0.000    0.002    0.000 payload.py:386(__init__)
       55    0.000    0.000    0.262    0.005 connector.py:957(_create_connection)
       22    0.000    0.000    0.000    0.000 timeouts.py:84(__aenter__)
       13    0.000    0.000    0.001    0.000 decoder.py:332(decode)
       64    0.000    0.000    0.000    0.000 _collections.py:259(__getitem__)
