Profile: <cProfile.Profile object at 0x000001BA0CDE2270>
         242367 function calls (233358 primitive calls) in 25.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.002    0.000 cookiejar.py:1261(__init__)
      132    0.000    0.000    0.003    0.000 _utils.py:302(smart_deepcopy)
      390    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
       48    0.000    0.000    0.001    0.000 _compat.py:92(field_get_default)
      247    0.000    0.000    0.001    0.000 _urlparse.py:161(<genexpr>)
       39    0.000    0.000    0.005    0.000 _connection.py:518(send_with_data_passthrough)
       14    0.000    0.000    0.006    0.000 cookiejar.py:1272(_cookies_for_domain)
       91    0.000    0.000    0.004    0.000 _models.py:168(get)
      460    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       36    0.000    0.000    0.003    0.000 typing_extensions.py:626(__instancecheck__)
       13    0.000    0.000    0.004    0.000 connection_pool.py:369(close)
       17    0.000    0.000    0.008    0.000 cookiejar.py:1599(make_cookies)
       13    0.000    0.000    0.004    0.000 _models.py:373(_prepare)
       19    0.000    0.000    0.000    0.000 threading.py:236(__init__)
       13    0.000    0.000    0.003    0.000 _events.py:137(__init__)
       26    0.000    0.000    0.002    0.000 _utils.py:7(is_socket_readable)
       36    0.000    0.000    0.003    0.000 inspect.py:1808(getattr_static)
        2    0.000    0.000    0.173    0.086 client.py:311(begin)
        1    0.000    0.000    1.044    1.044 _api.py:114(get_transcript)
       13    0.000    0.000    0.001    0.000 _models.py:186(<listcomp>)
        4    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
      455    0.000    0.000    0.000    0.000 _util.py:127(bytesify)
       92    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      214    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
       13    0.000    0.000    0.006    0.000 http11.py:159(_send_request_body)
      265    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFD3FCA8F90}
       26    0.000    0.000    0.001    0.000 _models.py:254(__delitem__)
       32    0.000    0.000    0.012    0.000 http11.py:205(_receive_response_body)
      262    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
        2    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
      960    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       97    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
       39    0.000    0.000    0.000    0.000 _urlparse.py:422(is_safe)
        6    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
       15    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       12    0.000    0.000   24.191    2.016 _utils.py:243(wrapper)
      195    0.000    0.000    0.013    0.000 __init__.py:122(unescape)
       48    0.000    0.000    0.001    0.000 _receivebuffer.py:87(maybe_extract_next_line)
      192    0.000    0.000    0.000    0.000 typing.py:1694(_value_and_type_iter)
      182    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       13    0.000    0.000    0.019    0.001 http11.py:147(_send_request_headers)
      530    0.000    0.000    0.000    0.000 _policybase.py:305(header_store_parse)
       26    0.000    0.000    0.001    0.000 request.py:374(_parse)
      432    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
      702    0.000    0.000    0.000    0.000 typing.py:2256(cast)
       13    0.000    0.000    0.001    0.000 decoder.py:332(decode)
       32    0.000    0.000    0.013    0.000 http11.py:337(__iter__)
       32    0.000    0.000    0.000    0.000 parse.py:917(quote_from_bytes)
       26    0.000    0.000    0.001    0.000 _models.py:230(__setitem__)
       13    0.000    0.000   22.761    1.751 http11.py:179(_receive_response_headers)
        4    0.000    0.000    0.002    0.001 feedparser.py:216(_parsegen)
      138    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
       26    0.000    0.000    0.001    0.000 _events.py:337(__init__)
       26    0.000    0.000    0.002    0.000 request.py:343(full_url)
       13    0.000    0.000    0.004    0.000 _client.py:129(close)
       36    0.000    0.000    0.001    0.000 inspect.py:1778(_check_class)
       56    0.000    0.000    0.001    0.000 <frozen _collections_abc>:771(get)
       26    0.000    0.000    0.001    0.000 _connection.py:72(_keep_alive)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
      304    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytearray' objects}
       13    0.000    0.000    0.002    0.000 _models.py:631(_get_content_decoder)
        4    0.000    0.000    0.000    0.000 socket.py:220(__init__)
       15    0.000    0.000    0.001    0.000 <frozen _collections_abc>:941(update)
      122    0.000    0.000    0.001    0.000 typing.py:1371(__hash__)
       35    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       41    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
       16    0.000    0.000    0.000    0.000 message.py:489(get)
       36    0.000    0.000    0.000    0.000 inspect.py:1769(_check_instance)
       26    0.000    0.000    0.001    0.000 request.py:301(request_host)
       12    0.000    0.000   23.871    1.989 _base_client.py:1226(post)
       13    0.000    0.000    0.001    0.000 http11.py:245(_response_closed)
      132    0.000    0.000    0.002    0.000 typing.py:412(is_literal_type)
      184    0.000    0.000    0.000    0.000 socket.py:731(readable)
       31    0.000    0.000   22.745    0.734 ssl.py:1289(recv)
      551    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       13    0.000    0.000   22.856    1.758 _client.py:881(send)
       46    0.000    0.000    0.000    0.000 cookiejar.py:884(__init__)
      221    0.000    0.000    0.000    0.000 _headers.py:117(__getitem__)
       13    0.000    0.000    0.003    0.000 _base_client.py:411(_build_headers)
       22    0.000    0.000    0.001    0.000 queue.py:122(put)
       13    0.000    0.000    0.009    0.001 _base_client.py:425(_prepare_url)
      104    0.000    0.000    0.001    0.000 _models.py:121(raw)
       39    0.000    0.000    0.000    0.000 _models.py:287(origin)
       26    0.000    0.000    0.000    0.000 _models.py:239(<listcomp>)
       28    0.000    0.000    0.010    0.000 ssl.py:1236(send)
       24    0.000    0.000    0.001    0.000 queue.py:154(get)
       15    0.000    0.000    0.001    0.000 cookiejar.py:1297(_cookie_attrs)
       25    0.000    0.000    0.024    0.001 _models.py:808(read)
       39    0.000    0.000    0.017    0.000 http11.py:170(_send_event)
       26    0.000    0.000    0.001    0.000 _models.py:1160(__bool__)
       13    0.000    0.000    0.021    0.002 _models.py:1033(extract_cookies)
      182    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       48    0.000    0.000    0.000    0.000 copy.py:243(_keep_alive)
        8    0.000    0.000    0.003    0.000 cookiejar.py:949(set_ok)
       12    0.000    0.000    0.026    0.002 _response.py:273(parse)
      728    0.000    0.000    0.000    0.000 {method 'isprintable' of 'str' objects}
       27    0.000    0.000    0.000    0.000 _urlparse.py:138(__str__)
       11    0.000    0.000   14.366    1.306 summary.py:35(chunk_summary)
       26    0.000    0.000    0.000    0.000 _models.py:260(<listcomp>)
       32    0.000    0.000    0.001    0.000 parse.py:841(quote)
       52    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      763    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
       78    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       12    0.000    0.000    0.000    0.000 _utils.py:311(<dictcomp>)
       65    0.000    0.000    0.001    0.000 __init__.py:218(finditer)
        8    0.000    0.000    0.001    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
       12    0.000    0.000    0.006    0.000 _models.py:721(construct)
       26    0.000    0.000    0.001    0.000 _connection.py:81(_body_framing)
       40    0.000    0.000    0.000    0.000 _urlparse.py:105(authority)
       30    0.000    0.000    0.001    0.000 cookiejar.py:1161(return_ok_domain)
      456    0.000    0.000    0.000    0.000 ssl.py:1146(_checkClosed)
       39    0.000    0.000    0.008    0.000 _models.py:61(enforce_headers)
       22    0.000    0.000    0.001    0.000 cookiejar.py:647(request_path)
      530    0.000    0.000    0.000    0.000 _policybase.py:201(header_max_count)
       89    0.000    0.000    0.000    0.000 cookiejar.py:1753(__iter__)
       18    0.000    0.000    0.000    0.000 parse.py:164(hostname)
       26    0.000    0.000    0.000    0.000 parse.py:1058(_splittype)
       13    0.000    0.000    0.000    0.000 _config.py:208(__init__)
       26    0.000    0.000    0.000    0.000 _base_client.py:2019(<dictcomp>)
       65    0.000    0.000    0.000    0.000 {method 'finditer' of 're.Pattern' objects}
       26    0.000    0.000    0.002    0.000 http11.py:281(has_expired)
       26    0.000    0.000    0.006    0.000 _models.py:373(__init__)
       32    0.000    0.000    0.000    0.000 _events.py:299(__init__)
      149    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
       14    0.000    0.000    0.001    0.000 cookiejar.py:1188(domain_return_ok)
       26    0.000    0.000    0.000    0.000 _decoders.py:199(flush)
       13    0.000    0.000   22.832    1.756 _client.py:930(_send_handling_auth)
       13    0.000    0.000   22.792    1.753 connection.py:67(handle_request)
       52    0.000    0.000    0.002    0.000 cookiejar.py:636(eff_request_host)
       56    0.000    0.000    0.000    0.000 parse.py:659(unquote)
       39    0.000    0.000    0.004    0.000 _models.py:128(keys)
       31    0.000    0.000    0.000    0.000 _connection.py:352(receive_data)
       68    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
