Profile: <cProfile.Profile object at 0x000001F095772890>
         245586 function calls (235919 primitive calls) in 19.962 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
       12    0.000    0.000    0.037    0.003 _response.py:123(_parse)
       12    0.000    0.000    0.039    0.003 _base_client.py:1061(_process_response)
       12    0.000    0.000    0.029    0.002 _client.py:319(build_request)
  571/496    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      194    0.000    0.000    0.002    0.000 __init__.py:178(sub)
       33    0.000    0.000    0.018    0.001 _models.py:867(iter_raw)
       72    0.000    0.000    0.007    0.000 _models.py:62(__init__)
       52    0.000    0.000    0.001    0.000 copy.py:259(_reconstruct)
      228    0.000    0.000    0.001    0.000 _urlparse.py:161(<genexpr>)
       33    0.000    0.000    0.012    0.000 http11.py:337(__iter__)
      132    0.000    0.000    0.004    0.000 _utils.py:302(smart_deepcopy)
       60    0.000    0.000    0.002    0.000 cookiejar.py:620(request_host)
      259    0.000    0.000    0.001    0.000 typing.py:1245(_is_dunder)
       33    0.000    0.000    0.003    0.000 _models.py:1016(__init__)
       12    0.000    0.000    0.003    0.000 _client.py:392(_merge_cookies)
      312    0.000    0.000    0.005    0.000 _utils.py:151(is_mapping)
       12    0.000    0.000    0.006    0.001 http11.py:159(_send_request_body)
      874    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      418    0.000    0.000    0.000    0.000 _util.py:127(bytesify)
        3    0.000    0.000    0.003    0.001 _generate_schema.py:1040(_common_field_schema)
       36    0.000    0.000    0.003    0.000 inspect.py:1808(getattr_static)
       48    0.000    0.000    0.001    0.000 _compat.py:92(field_get_default)
      156    0.000    0.000    0.000    0.000 _models.py:274(<listcomp>)
       18    0.000    0.000    0.000    0.000 threading.py:236(__init__)
       30    0.000    0.000    0.003    0.000 typing.py:1353(__init__)
       36    0.000    0.000    0.003    0.000 typing_extensions.py:626(__instancecheck__)
       12    0.000    0.000    0.004    0.000 _models.py:200(update)
  211/209    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       13    0.000    0.000    0.006    0.000 cookiejar.py:1356(add_cookie_header)
      345    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
      467    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        5    0.000    0.000    0.001    0.000 _generate_schema.py:1765(_get_prepare_pydantic_annotations_for_known_type)
      126    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
  211/209    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      132    0.000    0.000    0.004    0.000 fields.py:532(get_default)
       12    0.000    0.000    0.019    0.002 http11.py:147(_send_request_headers)
       12    0.000    0.000    0.004    0.000 _models.py:373(_prepare)
       16    0.000    0.000    0.007    0.000 cookiejar.py:1599(make_cookies)
       40    0.000    0.000    0.002    0.000 cookiejar.py:1261(__init__)
       16    0.000    0.000    0.014    0.001 cookiejar.py:1680(extract_cookies)
        1    0.000    0.000    0.000    0.000 _transcripts.py:133(<listcomp>)
       58    0.000    0.000    0.000    0.000 cookiejar.py:1667(set_cookie)
       17    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       99    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
       12    0.000    0.000    0.003    0.000 connection_pool.py:369(close)
       12    0.000    0.000    0.000    0.000 _models.py:186(<listcomp>)
